Organization Name,Website Link,Category,Brief Description,Address,
Community Gatepath,http://www.gatepath.org/,Disability Services,"For nearly 90 years, has been ""Turning Disabilities Into Possibilities"" by helping children and adults with disabilities achieve personal goals and live full and productive lives in school, the community, home, and the workplace.","(Now part of AbilityPath) 350 Twin Dolphin Dr #123, Redwood City, CA 94065",
Fair Oaks Community Center,(No dedicated website found),Community Services,"A community center in Redwood City, California, offering support services such as housing assistance and free food stamps.","2600 Middlefield Rd, Redwood City, CA 94063 [cite: 188]",
Family Giving Tree,https://familygivingtree.org/,Human Services / Basic Needs,"Dedicated to ""Bringing Joy. Growing Hope. Creating Community"" by providing backpacks and school supplies to Bay Area students facing financial hardship and fulfilling holiday wishes for children, adults, and seniors in need.","606 Valley Way, Milpitas, CA 95035 (Serves San Mateo County)",
Gilead House,https://www.gileadhouse.org/,Homelessness / Family Support,"A place of hope that inspires and empowers homeless single mothers and their children towards financial stability and independence through transitional housing, education, and therapeutic support, fostering a stable and positive living environment for children.","PO Box 967, Novato, CA 94948 (Serves Bay Area, specific San Mateo County location not prominent)",
Grateful Gatherings,https://gratefulgatherings.org/,Human Services / Homelessness Alleviation,"A nonprofit that aims to break the cycle of homelessness by furnishing homes for families transitioning out of homelessness or crisis in the Bay Area, believing that a safe and comfortable home environment allows families to thrive.","32970 Alvarado-Niles Rd #742, Union City, CA 94587 (Warehouse/Operations, serves Bay Area including San Mateo County)",
Housing Choices Coalition,www.housingchoices.org,Disability Services / Housing,"Enhances the lives of people with developmental disabilities by creating quality, affordable housing options, partnering with developers to set aside rental units, and supporting individuals in maintaining their housing.","PO Box 23068, San Jose, CA 95153 (Mailing, serves San Mateo County)",
Jewish Family and Children's Services of the Peninsula (JFCS),https://www.jfcs.org/,Family Services / Social Services,"Aims to strengthen individuals, families, and the community by providing comprehensive social, health, and educational services guided by Jewish values, supporting children, families, the elderly, and adults with disabilities.","200 Channing Ave, Palo Alto, CA 94301 (Serves San Mateo County)",
La Raza Community Resource Center (LRCRC),http://www.larazacrc.org/,Immigrant Services / Community Support,"Acts as a bridge between San Francisco and Spanish-speaking immigrant families, providing direct support and advocacy to ensure Latino and Indigenous immigrant communities can access resources, including immigration services, family support, rental subsidies, and a food pantry.","474 Valencia St #100, San Francisco, CA 94103 (Serves Bay Area including San Mateo County)",
Mills-Peninsula Hospital Foundation,www.sutterhealth.org/mills/giving,Healthcare Philanthropy,"A local nonprofit institution dedicated to managing philanthropic contributions in the healthcare sector, funding innovative equipment, facility improvements, nursing education, and initiatives to enhance patient comfort, safety, and services.","1501 Trousdale Dr, Burlingame, CA 94010 (Associated with Mills-Peninsula Medical Center)",
Mission Hospice & Home Care,https://www.missionhospice.org/,Healthcare / End-of-Life Care,"An independent nonprofit providing exceptional end-of-life care, grief support, and education for patients and families in the San Francisco Peninsula and South Bay, offering palliative care, hospice care, and a peaceful Mission House for symptom management.","1670 S Amphlett Blvd #300, San Mateo, CA 94402",
North Peninsula Food Kitchen,(No dedicated website found),Food Security,"Provides food assistance through various programs in San Mateo County, including prepared meals, free groceries via Second Harvest Food Bank, WIC, farmers' markets, and senior nutrition programs, with college food pantries also available.","(Likely operates through various partner sites in North San Mateo County, specific central address not found)",
Pacific Islanders Cultural Association (PICA),https://mail.pica-org.org/,Arts & Culture / Cultural Preservation,"Formed in 1995, composed of volunteers whose mission is to develop and perpetuate the histories, cultures, and traditions of all Pacific Islanders through education, primarily via its annual Aloha Festival.","PO Box 7903, Redwood City, CA 94063 (Mailing)",
Peninsula Ballet Theatre,https://www.peninsulalivelyarts.org/ballet-theatre,Arts & Culture / Dance,"Inspires passion and creates joy through live classical-based dance productions, striving to continue its long tradition as an artistic and cultural hub of San Mateo County.","1880 S Grant St, San Mateo, CA 94402",
Peninsula Corridor Joint Powers Board (Caltrain) Citizens Advisory Committee,https://www.caltrain.com/about-caltrain/meetings,Transportation / Community Advisory,"An advisory group that provides guidance to the Caltrain policy board, meeting regularly to discuss and provide input on Caltrain operations and services.","1250 San Carlos Ave, San Carlos, CA 94070 (Caltrain Headquarters)",
Pescadero Food Coalition,www.pescaderocouncil.org,Community Development,"The Pescadero Municipal Advisory Council works on local community issues, including food-related matters, though a specific ""Food Coalition"" website was not explicitly found in the provided materials.","(Associated with Puente de la Costa Sur or local Pescadero initiatives) Pescadero, CA",
Redwood City Education Foundation (RCEF),www.rcef.org,Education / Educational Support,"A nonprofit 501(c)3 organization founded in 1983, with a mission to improve the early academic performance of underserved K-8 public school students in Redwood City through financial support, advocacy, and community engagement.","PO Box 3066, Redwood City, CA 94064 (Mailing)",
Ryder Community Health Center,(No dedicated website found),Healthcare,"While a specific ""Ryder Community Health Center"" website in San Mateo County was not found, Health Plan of San Mateo (HPSM) and San Mateo County Health are key entities providing comprehensive healthcare services in the county.",(Address not found; may be part of San Mateo Medical Center network),
San Mateo County History Museum,www.historysmc.org,Arts & Culture / History,"Dedicated to preserving and presenting the history of the San Francisco Peninsula, offering engaging and interactive exhibits for all ages within a stunning historic building in Redwood City.","2200 Broadway, Redwood City, CA 94063",
Siena Youth Center,https://stfrancisrwc.org/,Youth Development,"A program of the St. Francis Center of Redwood City, providing a positive, safe environment for youth aged 10-17 to become healthy, interact with the community, receive mentorship, and develop leadership skills, including initiatives like the North Fair Oaks Youth Initiative and Poderismo Basketball League.","151 Buckingham Ave, Redwood City, CA 94063 (St. Francis Center address)",
Silicon Valley Community Foundation (SVCF),https://www.siliconvalleycf.org/,Philanthropy / Community Development,"A regional catalyst and connector, mobilizing resources and expertise to drive systemic changes for an equitable, economically secure, and vibrant future for all in Silicon Valley, focusing on equity, housing, emergency response, and financial stability.","2440 W El Camino Real #300, Mountain View, CA 94040 (Serves San Mateo County)",
Silicon Valley FACES,www.svfaces.org,Anti-Bias & Violence Prevention,"Dedicated to creating and promoting an empathetic and inclusive community free of bias, bigotry, and violence through age-appropriate experiential learning programs that teach empathy, inclusiveness, communication skills, and conflict resolution.","160 E Virginia St #100, San Jose, CA 95112 (Serves San Mateo County)",
SparkPoint San Mateo County (College of San Mateo),https://collegeofsanmateo.edu/sparkpoint/,Financial Empowerment / Basic Needs,"Provides financial empowerment and basic needs support to students, offering financial coaching, free groceries and meals on campus, free personal care products, tax preparation, and assistance with CalFresh and health insurance applications.","1700 W Hillsdale Blvd, San Mateo, CA 94402 (College of San Mateo Campus, Building 1, Room 260)",
StreetCode Academy,https://streetcode.org/,Education / Technology & Design,"Prepares a new generation of tech leaders by bringing people and technology together, offering free programs and classes in ""Hack, Hustle & Design"" and welcoming individuals as mentors, donors, or students to its ""StreetCode Family"".","763 Green St, East Palo Alto, CA 94303",
Art in Action,https://artinaction.org/,Arts Education,"Aims to provide one million K-8 students with equal access to quality and meaningful art education, offering complete art programs, teacher/volunteer training, and art lessons/materials to transform lives through art.","PO Box 2077, Menlo Park, CA 94026 (Mailing)",
Bay Area Urban Debate League (BAUDL),www.baudl.org,Education / Youth Leadership,"Works with Bay Area public school districts to make competitive policy debate available to every public high school student, believing debate increases academic performance, enriches college/career opportunities, and fosters active, responsible community leaders.","PO Box 20125, Oakland, CA 94620 (Serves Bay Area including San Mateo County)",
Children's Health Council (CHC),https://www.chconline.org/,Child Health / Mental Health,"Helps children and families in Santa Clara and San Mateo Counties by removing barriers to learning, assisting kids with ADHD, learning differences, anxiety, depression, and autism spectrum disorders, and promoting resilience and success.","650 Clark Way, Palo Alto, CA 94304 (Serves San Mateo County)",
CORA (Community Overcoming Relationship Abuse),https://www.corasupport.org/,Human Services / Domestic Violence Support,"The only agency in San Mateo County exclusively dedicated to assisting individuals affected by intimate partner abuse, offering crisis intervention, safe housing, mental health services, LGBTQ+ support, legal services, and prevention education.","PO Box 5090, San Mateo, CA 94402 (Mailing); multiple service locations",
Fix Our Ferals,http://www.fixourferals.org/,Animal Welfare,"A community-based nonprofit promoting trap-neuter-return (T-N-R) to humanely reduce outdoor cat populations in the San Francisco East Bay, providing affordable sterilizations, vaccinations, and education.","3912 Horton St, Emeryville, CA 94608 (Serves East Bay, may offer resources applicable to SMC residents)",
Friends of the Redwood City Public Library,http://friendsofrwclibrary.org/,Education / Library Support,"An all-volunteer organization that raises funds through book sales and memberships to sponsor library programming and provide other library goods and services, including summer learning challenges, authors, and literacy programs.","1044 Middlefield Rd, Redwood City, CA 94063 (Redwood City Downtown Library)",
Magical Bridge Foundation,https://www.magicalbridge.org/,Community Development / Accessibility,"Innovates multigenerational playgrounds, parks, and programs to create more inclusive communities, designing award-winning spaces where guests of all ages and abilities can experience play, community connections, and belonging.","Magical Bridge Playground Redwood City: 1000 Main St, Redwood City, CA 94063 (Example location)",
Marine Science Institute (MSI),https://www.sfbaymsi.org/,Environmental Education,Dedicated to inspiring respect and stewardship for the marine environment through engaging and interactive hands-on adventure learning experiences with San Francisco Bay Area marine life for students of all ages.,"500 Discovery Pkwy, Redwood City, CA 94063",
Ravenswood Family Health Center,https://ravenswoodfrn.org/,Healthcare / Community Health,"Offers integrated primary and preventive healthcare using a whole-person, patient-centered approach, treating patients with respect and dignity in East Palo Alto and surrounding communities.","1885 Bay Rd, East Palo Alto, CA 94303",
St. Francis Center Redwood City,https://stfrancisrwc.org/,Human Services / Community Support,"Operates with the motto ""compassion, not judgment,"" helping impoverished families become self-supporting members of the community by providing food, clothing, affordable housing, and educational programs, and has expanded its focus to acquiring properties for affordable housing.","151 Buckingham Ave, Redwood City, CA 94063",
The Clemente Course in the Humanities,https://clemente.bard.edu/,Education / Adult Education,"Provides free humanities education to motivated adults facing economic hardship, empowering them to further their education and careers, become advocates, and engage actively in their communities through college-level courses in literature, art history, philosophy, and American history.","(Operates in various locations/cities, specific San Mateo County site not immediately found, often partners with local orgs)",
The Crucible,https://www.thecrucible.org/,Arts Education / Industrial Arts,"A nonprofit art school making fine and industrial arts accessible for all ages, backgrounds, and abilities in Oakland and the East Bay, offering classes and team-building activities in various mediums and providing free programming and scholarships.","1260 7th St, Oakland, CA 94607 (Serves Bay Area)",
Coastside Children's Programs (CCP),www.coastsidechildren.org,Child Care / Education,"Provides a safe and caring environment where children learn through experience, play, and friendships, offering quality educational, recreational, and skill-building activities through preschools, before and after school programs, and summer camps.","Multiple sites in Half Moon Bay, El Granada; Admin: 99 Avenue Portola, El Granada, CA 94018",
Environmental Traveling Companions (ETC),https://etctrips.org/,Outdoor Adventure / Disability & Youth,"Opens the world of outdoor adventure to individuals with disabilities and youth from under-resourced backgrounds, offering sea kayaking, whitewater rafting, cross-country skiing, and a Youth LEAD Program to build leadership skills and environmental stewardship.","2 Marina Blvd Building C, San Francisco, CA 94123 (Serves Bay Area including San Mateo County)",
San Mateo County Parks Foundation,www.supportparks.org,Environmental / Parks & Recreation,"Provides financial support for recreational, environmental, and educational programs and projects of the San Mateo County Department of Parks, aiming to inspire people to care for, learn about, and enjoy the county parks.","300 Lakeside Dr #A, Redwood City, CA 94063",
San Mateo Public Library Foundation,(No dedicated website found),Library Support,"Supports the San Mateo Public Library's mission to be a gateway to empowerment and understanding, making knowledge accessible and offering free enriching experiences and welcoming civic spaces for the community.","55 W 3rd Ave, San Mateo, CA 94402 (Associated with San Mateo Public Library)",
Sequoia High School Education Foundation (SHSEF),https://www.sequoiahs.org/PARENTS--COMMUNITY/SHS-Education-Foundation/index.html,Education / Educational Support,"Supports projects and programs that ensure every student at Sequoia High School has the opportunity to achieve their highest potential, raising funds for academic enrichment, professional development, and student/family support services.","1201 Brewster Ave, Redwood City, CA 94062 (Sequoia High School)",
South San Francisco Unified School District Parent Booster Groups,https://www.ssfusd.org/apps/pages/index.jsp?uREC_ID=1784303&type=d&pREC_ID=2149932,Education / School Support,"Parent Teacher Associations (PTAs) and Parent Teacher Student Associations (PTSAs) contribute time, expertise, and money to supplement academic programs through enrichment activities and support the SSFUSD's drive for excellence in student achievement.","(Supports various schools within SSFUSD), District Office: 398 B St, South San Francisco, CA 94080",
The Boys & Girls Clubs of the Peninsula (BGCP),https://www.bgcp.org/,Youth Development / Education,"Empowers youth by providing equitable access to social, academic, and career opportunities, extending the school day and year through free, high-quality after-school and summer programs from kindergarten through college and career placement.","401 Pierce Rd, Menlo Park, CA 94025 (Administrative Office; multiple clubhouses in San Mateo County)",
YMCA of Silicon Valley,https://www.ymcasv.org/,Youth Development / Health & Wellness,"A leading nonprofit for youth development, healthy living, and social responsibility, offering programs and services that enable kids to realize their potential, provide family fun, and empower healthier lives across various locations and programs.","Peninsula Family YMCA: 1877 S Grant St, San Mateo, CA 94402 (Example of one San Mateo County location)",
Alzheimer's Association - Northern California and Northern Nevada Chapter,https://www.alz.org/norcal/,Health Services / Disease Support,"Dedicated to supporting individuals and families affected by Alzheimer's disease and other dementias through support groups, advocacy, advancing research, and providing education and resources across a wide geographical area.","2000 Civic Center Dr, Suite 230, Santa Clara, CA 95050 (Regional office serving San Mateo County)",
American Cancer Society,https://www.cancer.org/,Health Services / Disease Support,"A leading organization dedicated to fighting cancer with a vision to end cancer for everyone, improving the lives of people with cancer and their families through advocacy, research, and patient support, ensuring access to prevention, detection, treatment, and survival resources.","(Regional presence, often partners with local hospitals; specific San Mateo County office address not prominent, use website for local resources)",
American Heart Association - Northern California,https://www.heart.org/en/affiliates/california/northern-california,Health Services / Disease Prevention,"A relentless force for longer, healthier lives, championing maternal health, implementing blood pressure programs, alleviating food insecurity, and saving lives through CPR training and advocacy for healthier Californians.",(Regional office; San Mateo County served by Northern California chapter),
American National Red Cross - Bay Area Chapter,https://www.redcross.org/local/california/northern-california-coastal/about-us/locations/bay-area.html,Disaster Relief / Community Preparedness,"Serves nearly 4.5 million people across Alameda, Contra Costa, San Francisco, and San Mateo counties, providing disaster relief and empowering the community to prepare for, respond to, and recover from emergencies through a vast volunteer network and partnerships.","1663 Market St, San Francisco, CA 94103 (Bay Area Chapter HQ, serves San Mateo County)",
National Alliance on Mental Illness (NAMI) San Mateo County,https://www.nami.org/affiliate/california/nami-san-mateo-county/,Mental Health Advocacy & Support,"A local affiliate of the National Alliance on Mental Illness, dedicated to improving the quality of life for individuals with mental illness and their families through support, education, and advocacy.","1600 W. Hillsdale Blvd, Bldg 1, Rm 354, San Mateo, CA 94402",
Senior Coastsiders,https://seniorcoastsiders.org/,Senior Services,"Provides opportunities, services, and resources for all Coastside older adults to meet their needs, enrich their lives, foster independence, and respect their creativity, dignity, and value.","925 Main St, Half Moon Bay, CA 94019",
Shelter Health Collaborative,(No dedicated website found),Homelessness / Healthcare Access,"The San Mateo County Human Services Agency's Center on Homelessness works with a network of community-based organizations to provide pathways to housing and support for homeless families and individuals, including health services.",(Operates through various shelter locations in San Mateo County),
The Arc San Mateo County,https://www.thearcsf.org/what-we-do/san-mateo-county.html,Disability Services / Advocacy,"A person-centered organization that partners with, supports, and amplifies the voices of people with intellectual and developmental disabilities (I/DD) throughout the San Francisco Bay Area, providing employment services, adult life and work programs, residential living, and housing advocacy.","(Services provided in San Mateo County by The Arc San Francisco) 1500 Howard St, San Francisco, CA 94103",
Through the Looking Glass (TLG),https://lookingglass.org/,Disability Services / Family Support,"Provides respectful and empowering services for families where a child, parent, or grandparent has a disability or medical issue, offering direct services, information, and training guided by personal disability experience and culture.","3075 Adeline St #120, Berkeley, CA 94703 (Serves Bay Area including San Mateo County)",
Thrive Alliance,https://www.thrivealliance.org/,Nonprofit Sector Support,"A robust network of over 200 nonprofit organizations, government entities, foundations, businesses, and community leaders, dedicated to strengthening the nonprofit sector in San Mateo County by uniting voice and influence, building capacity, and fostering cross-sector collaboration.","Sobrato Center for Nonprofits - Redwood Shores, 350 Twin Dolphin Drive, Suite 123, Redwood City, CA 94065",
Youth Community Service (YCS),https://www.youthcommunityservice.org/,Youth Development / Community Service,"Elevates youth voices to enhance community connection and equity through service, bringing young people and art together, fostering learning and community engagement, and aiming to make art and culture accessible to all.","2000 Clarke Ave, East Palo Alto, CA 94303",
Samaritan House South,(not explicitly in directory table,but in Core Service Agencies table),Human Services / Basic Needs (derived),"Core Service Agency for East Palo Alto, Menlo Park 94303. Provides emergency services.","2396 University Ave, East Palo Alto, CA 94303 [cite: 185, 186]"
YMCA Community Resource Center,(not explicitly in directory table,but in Core Service Agencies table),Human Services / Basic Needs (derived),"Core Service Agency for South San Francisco, Brisbane, San Bruno. Provides emergency services.","1486 Huntington Ave, Ste 100, South San Francisco, CA 94080 [cite: 190]"
Peninsula Health Care District,N/A,Healthcare Support,"Supports community-based programs and partnerships, providing hospital operations.","1819 Trousdale Dr, Burlingame, CA 94010",
San Mateo County Health Foundation (SMCHF),smchf.org,Healthcare Philanthropy,Promotes health and well-being for all residents by supporting the county's hospital and clinic system.,"222 W 39th Ave, San Mateo, CA 94403",
Mental Health Association of San Mateo County (MHA),mhasmc.org,Mental Health & Homelessness Support,"Enriches quality of life, restores dignity, and reduces homelessness for those affected by mental illness and HIV/AIDS.","2686 Spring St, Redwood City, CA 94063",
California Clubhouse,Inc.,californiaclubhouse.org,Mental Health / Vocational Rehabilitation,Provides social and vocational rehabilitation for individuals living with a mental illness.,"311 Allerton St, Redwood City, CA 94063"
Voices of Recovery San Mateo County (VORSMC),vorsmc.org,Addiction Recovery Support,"Offers peer-led opportunities for education, wellness, advocacy, and support for recovery from addiction.","2905 S El Camino Real, San Mateo, CA 94403",
Women's Recovery Association (WRA),womensrecovery.org,Substance Abuse Treatment (Women),"Restores women to lives of dignity and respect, free from substance abuse.","1118 Hollyburne Ave, Menlo Park, CA 94025 (Admin); multiple locations",
Project WeHOPE,wehope.org,Homelessness Support / Job Training,"Provides emergency food and shelter, mobile homeless services, and job training.","1854 Bay Rd, East Palo Alto, CA 94303",
Salvation Army Redwood City Corps,redwoodcity.salvationarmy.org,Human Services / Food Security,Offers a Client Choice Food Program and accepts non-perishable food donations.,"660 Veterans Blvd, Redwood City, CA 94063",
St Vincent de Paul Society of San Mateo County (SVdP),svdpsm.org,Homelessness Support / Basic Needs,Operates Homeless Help Centers providing basic survival necessities.,"344 Grand Ave, South San Francisco, CA 94080 (Main Office); Multiple help centers",
