Name,URL,Summary,Category
"Ruby’s Place, Inc.",https://volunteerinfo.org/rubys-place-inc/,"Ruby’s Place, Inc. is a 42 bed shelter in Hayward, CA. We also offer supportive services to survivors of Domestic Violence, Human Trafficking and or Homelessness. Our Children’s Program has on going Volunteer Opportunities to assist, supervise and interact with …","Abuse and Neglect, Children and Families, Counseling, Therapy, and Emotional Support, Crisis Support, East Bay, Hayward, Housing and Homelessness, Youth"
Infidelity Counseling Network,https://volunteerinfo.org/infidelity-counseling-network-2/,"We help women heal from the trauma of infidelity through free, confidential, one-to-one telephone peer counseling. We are the ONLY nonprofit in the U.S. or Canada like this! Come volunteer with us and transform women’s lives. We are always seeking …","Abuse and Neglect, Children and Families, Conflict Resolution, Counseling, Therapy, and Emotional Support, Crisis Support, Domestic Violence, Human Services, Mental Health, Palo Alto, Peninsula"
Safe Alternatives to Violent Environments (SAVE),https://volunteerinfo.org/safe-alternatives-to-violent-environments-save/,"SAVE’s mission is to strengthen every individual and family we serve with the knowledge and support needed to break the cycle of violence and build healthier lives. We have volunteer opportunities available in the following program areas: Office, Outreach, Direct …","Abuse and Neglect, Counseling, Therapy, and Emotional Support, Crisis Support, Domestic Violence, East Bay, Emergency and Safety, Fremont, Health and Medicine, Mental Health, Women"
healthRIGHT 360,https://volunteerinfo.org/healthright-360/,"HealthRIGHT 360 is a family of programs that includes Walden House, Haight Ashbury Free Clinics, Asian American Recovery Services, Women’s Recovery Association, North County Serenity House, Lyon-Martin Health Services and Rock Medicine. HealthRIGHT 360 gives hope, builds health, and changes …","Abuse and Neglect, Children and Families, Counseling, Therapy, and Emotional Support, Crisis Support, Domestic Violence, Health and Medicine, Multi-Service Agency, Peninsula, San Francisco, Women"
Little Brothers – Friends of the Elderly,https://volunteerinfo.org/little-brothers-friends-of-the-elderly-3/,Little Brothers – Friends of the Elderly is a national network of non-profit volunteer-based organizations committed to relieving isolation and loneliness among the elderly. We offer to people of goodwill the opportunity to join the elderly in friendship and the …,"Abuse and Neglect, Assisted Living, Counseling, Therapy, and Emotional Support, East Bay, Human Services, Independent Living, Mental Health, North Bay, Peninsula, Seniors, South Bay"
Treehouse ( a program of the Jamestown Community Center),https://volunteerinfo.org/treehouse-a-program-of-the-jamestown-community-center/,"Treehouse, a program of the Jamestown Community Center in San Francisco’s Mission District, is looking for volunteer facilitators to run our counseling and prevention youth groups. Treehouse is a program which places at-risk youth into social support groups with caring, …","Abuse and Neglect, Children and Families, Counseling, Therapy, and Emotional Support, Human Services, Mental Health, Mentorship and Tutoring, Peninsula, San Francisco, Youth"
"Youth Homes, Inc.",https://volunteerinfo.org/youth-homes-inc/,"Youth Homes, Inc. is a 501(c)(3) non-profit organization committed to serving the needs of abused and neglected foster children and adolescents in California’s San Francisco Bay Area. We provide intensive residential treatment programs and community-based counseling services that promote the …","Abuse and Neglect, Adoption and Foster Care, Advocacy and Human Rights, Children and Families, Counseling, Therapy, and Emotional Support, Crisis Support, East Bay, Pleasanton"
Family Violence Law Center,https://volunteerinfo.org/family-violence-law-center-2/,"FVLC employs a dedicated group of women and men from a variety of backgrounds who together work towards a shared vision of a future without domestic violence. We are attorneys, psychologists, and advocates. Many of us are survivors of domestic …","Abuse and Neglect, Advocacy and Human Rights, Children and Families, Conflict Resolution, Counseling, Therapy, and Emotional Support, Crisis Support, Domestic Violence, East Bay, Emergency and Safety, Human Rights and Civil Liberties, Justice and Legal, Oakland, Policy Advocacy, Victim Support, Women"
San Francisco Women Against Rape,https://volunteerinfo.org/san-francisco-women-against-rape/,"Description of Organization and/or Volunteer Opportunities Available: SFWAR is a women of color led, volunteer-based organization that has provided rape crisis services to survivors of sexual assault for over 30 years. As the primary provider of rape crisis services in …","Abuse and Neglect, Advocacy and Human Rights, Counseling, Therapy, and Emotional Support, Crime and Safety, Emergency and Safety, Human Services, Peninsula, San Francisco, Women"
Rape Trauma Services,https://volunteerinfo.org/rape-trauma-services/,"Our services are for all survivors of sexual assault or abuse, whether it happened yesterday or many years ago, and their loved ones. Rape is an act of violence and cruelty, which knows no cultural, ethnic, racial, age, or gender …","Abuse and Neglect, Crisis Support, Mental Health, Peninsula, San Mateo County, Women"
San Francisco Child Abuse Prevention Center,https://volunteerinfo.org/san-francisco-child-abuse-prevention-center/,"Description of Organization and/or Volunteer Opportunities Available: The San Francisco Child Abuse Prevention Center is dedicated to the prevention of child abuse and neglect, the promotion of healthy families and the mental health of children. We need volunteers for our …","Abuse and Neglect, Children and Families, Counseling, Therapy, and Emotional Support, Crime and Safety, Crisis Support, Emergency and Safety, Mental Health"
CASA – Court Appointed Special Advocates for Children Alameda County,https://volunteerinfo.org/casa-court-appointed-special-advocates-for-children/,"Court Appointed Special Advocates (CASA) Program is a nationally-based organization that provides one-on-one court advocacy to abused, neglected and abandoned children who are dependents of juvenile court.","Abuse and Neglect, Adoption and Foster Care, Advocacy and Human Rights, Alameda, Children and Families, Counseling, Therapy, and Emotional Support, East Bay, Human Services, Justice and Legal"
Marin Advocates for Children,https://volunteerinfo.org/marin-advocates-for-children/,"Marin Advocates for Children’s mission is two-fold: preventing abuse and advocating for the best interests of children. MAC has two programs: Marin Court Appointed Special Advocates (CASA) and Marin Child Abuse Prevention Council (CAPC). With our two programs, MAC not …","Abuse and Neglect, Advocacy and Human Rights, Children and Families, North Bay, San Rafael"
Children’s Council of San Francisco,https://volunteerinfo.org/childrens-council-of-san-francisco/,"Our annual City Kids Family Fair is once a year in September from 11am-1pm at the Mission Dolores Academy playground. At Children’s Council, we believe that all families deserve access to quality child care. So every day we help parents …","Adoption and Foster Care, Advocacy and Human Rights, Children and Families, East Bay, Education and Literacy, Human Services, Mentorship and Tutoring, North Bay, Peninsula, Poverty and Hunger, San Francisco, South Bay, Youth"
Silicon Valley Children’s Fund,https://volunteerinfo.org/silicon-valley-childrens-fund/,Silicon Valley Children’s Fund is a 501(c)(3) nonprofit corporation that functions much like a venture capital organization. We invest in programs to improve the life outcomes of the foster youth in Santa Clara County. We advocate for the needs of …,"Adoption and Foster Care, Silicon Valley, South Bay"
San Francisco CASA Program – Court Appointed Special Advocates,https://volunteerinfo.org/san-francisco-casa-program-court-appointed-special-advocates/,The mission of the SFCASA Program is to train community volunteers to serve as officers of the court to advocate for the best interests of abused and neglected children in the foster care system. Our vision is that every child …,"Adoption and Foster Care, Advocacy and Human Rights, Children and Families, Peninsula, San Francisco"
City Youth Now,https://volunteerinfo.org/city-youth-now/,"For over half a century, our mission has remained constant—City Youth Now supports youth in the San Francisco foster care and juvenile justice systems by providing funds for services and programs that promote stability and personal growth. City Youth Now, …","Adoption and Foster Care, Peninsula, San Francisco, Youth"
EMQ FamiliesFirst,https://volunteerinfo.org/emq-familiesfirst/,"EMQ FamiliesFirst does whatever it takes to help children in crisis and their families. We are recognized for innovative mental health treatment, foster care and social services that help families recover from trauma, abuse and addiction, and rebuild their lives. …","Adoption and Foster Care, Children and Families, Community Development, Counseling, Therapy, and Emotional Support, Mental Health, Santa Clara, South Bay, Substance Abuse, Youth"
"Eden I&R, Inc.",https://volunteerinfo.org/eden-ir-inc/,"For 35 years, Eden I&R has been successfully fulfilling its mission of “linking people and resources” by consistently and creatively responding to the community’s changing needs. The agency’s services are the results of collaborations that depend on the work of …","Adoption and Foster Care, Disaster Relief, East Bay, Emergency and Safety, Funding and Financial Assistance, Hayward, Health and Medicine, Housing and Homelessness"
Aspiranet – Children and Family Services Agency,https://volunteerinfo.org/aspiranet-children-and-family-services-agency/,"For more than 35 years, Aspiranet has been dedicated to creating permanent, lifelong connections for children and families located in California. A nonprofit 501(c)(3) community-based organization headquartered in South San Francisco, we offer a statewide network of innovative and multi-faceted …","Adoption and Foster Care, Children and Families, Disability and Special Needs, Mental Health, Peninsula, San Francisco, Seniors, Youth"
Advocates for Children – CASA of San Mateo County,https://volunteerinfo.org/advocates-for-children-casa-of-san-mateo-county/,Court Appointed Special Advocates (CASA) of San Mateo County partners caring adults with children who have come under the court’s protection because their parents can’t or won’t take care of them. Navigating the System Alone Imagine you’ve been removed from …,"Adoption and Foster Care, Advocacy and Human Rights, Children and Families, Peninsula, San Mateo County"
A Home Within,https://volunteerinfo.org/a-home-within/,"A Home Within is the only national organization dedicated solely to meeting the emotional needs of foster youth. We recruit licensed mental health clinicians who volunteer to see one foster child in weekly therapy – free of charge, and for …","Adoption and Foster Care, Children and Families, Counseling, Therapy, and Emotional Support, Mental Health, Peninsula, San Francisco, Youth"
Huntington’s Disease Society of America,https://volunteerinfo.org/huntingtons-disease-society-of-america-2/,"When Marjorie Guthrie founded our organization in 1967, her vow was to “do something” about this devastating disease. Today we continue her legacy by bringing together the entire community to provide help and hope to all families affected by Huntington’s …","Advocacy and Human Rights, Children and Families, Human Services"
The Practice Space,https://volunteerinfo.org/the-practice-space/,Our programs and events help young speakers gain skills and comfort with public speaking.,"Advocacy and Human Rights, Children and Families, Communications Access, Counseling, Therapy, and Emotional Support, East Bay, Education and Literacy, Human Services, Richmond, Youth"
Davis Street Community Center,https://volunteerinfo.org/davis-street-community-center/,Davis Street’s mission is to improve the quality of life for low-income residents in the Eden Area and surrounding communities. We accomplish our mission by providing integrated services that help our clients help themselves. Volunteer opportunities are available year-round at …,"Advocacy and Human Rights, Community Development, Health and Medicine, Housing and Homelessness, Human Services, Independent Living, Seniors"
OneProsper,https://volunteerinfo.org/oneprosper/,"OneProsper International is a 501(c)(3) U.S. non-profit organization based in San Francisco. Our English Learning Buddy Program is focused on girls’ education in India, with the specific mission of ‘girls educating girls.’ Girls from low-income families in India aspire to …","Advocacy and Human Rights, Children and Families, Communications Access, Education and Literacy, International, Peninsula, San Francisco, South Bay, Women, Youth"
Veterans Healing Veterans,https://volunteerinfo.org/veterans-healing-veterans/,"With our beginnings rooted in California Department of Corrections and Rehabilitations (CDCR), we serve incarcerated veterans, veterans in transition, and veterans in our wider community. Through peer support, narration therapy, and mind/body integration practices, veterans are equipped with tools for …","Advocacy and Human Rights, Civic Engagement, Counseling, Therapy, and Emotional Support, East Bay, Mental Health, North Bay, Peer Counseling, Peninsula, Prison Reform, South Bay, Veterans and Military Families"
The Women’s Building,https://volunteerinfo.org/the-womens-building-3/,"In 1971, a group of visionary women founded San Francisco’s Women’s Centers to incubate emerging Bay Area women’s projects. Having outgrown their tiny office on Brady Street, the group bought Dovre Hall in 1979, a former Sons of Norway meeting …","Advocacy and Human Rights, Community Development, Counseling, Therapy, and Emotional Support, Health and Medicine, Mentorship and Tutoring, Peninsula, San Francisco, Women"
UnCommon Law,https://volunteerinfo.org/uncommon-law/,"UnCommon Law’s mission is to provide access to justice and healing for people impacted by incarceration. We deliver trauma-informed, healing-centered mental health and legal counseling to help provide a safe pathway home for people currently serving lengthy prison terms in …","Advocacy and Human Rights, Counseling, Therapy, and Emotional Support, Crime and Safety, East Bay, Justice and Legal, North Bay, Peninsula, Prison Reform, South Bay"
Lipstick Angels,https://volunteerinfo.org/lipstick-angels/,"Volunteer Positions in San Francisco, Palo Alto, Redwood City, & San Jose, CA 6 hours per month Licensed Estheticians & Makeup Artists Wanted Lipstick Angels is a national wellness and support program that helps restore dignity, hope, and self-esteem to …","Advocacy and Human Rights, Civic Engagement, Counseling, Therapy, and Emotional Support, Disability and Special Needs, East Bay, Grief and Loss, Health and Medicine, North Bay, Peninsula, South Bay, Women"
Hope Services,https://volunteerinfo.org/hope-services/,"Hope Services is the Bay Area’s largest non-profit agency, providing a wide array of quality services for persons with developmental disabilities for over 60 years! We are looking for volunteers to help out at our Thrift stores across the Bay …","Advocacy and Human Rights, Disability and Special Needs, Food and Clothing, San Jose, South Bay"
Canal Alliance,https://volunteerinfo.org/canal-alliance/,Canal Alliance exists to break the generational cycle of poverty for Latino immigrants and their families by lifting barriers to their success. We are a nonprofit champion of immigrants who are challenged by a lack of resources and an unfamiliar …,"Advocacy and Human Rights, Children and Families, Civic Engagement, Counseling, Therapy, and Emotional Support, Crisis Support, Education and Literacy, Food and Clothing, Government Reform, Housing and Homelessness, Human Services, Hunger, Immigrants and Refugees, North Bay, Poverty and Hunger, San Rafael, Youth"
Heart in Motion,https://volunteerinfo.org/heart-in-motion/,"Heart in Motion brings together Bay Area youth, inspiring neighborhood activism and cultivating a passion for community service. Its members come from schools throughout the area, who work together to transform community service from a duty to a rewarding labor …","Advocacy and Human Rights, Children and Families, Civic Engagement, Community Development, East Bay, Human Services, Mentorship and Tutoring, North Bay, Peninsula, South Bay, Youth"
Kimochi,https://volunteerinfo.org/kimochi/,"Since 1971, Kimochi has provided culturally sensitive, Japanese language-based programs and services to 3,000 Bay Area seniors and their families each year. Services include transportation; referral and outreach services; health and consumer education seminars; healthy aging and senior center activities; …","Advocacy and Human Rights, Assisted Living, Crisis Support, Human Services, Hunger, Independent Living, Peninsula, Race and Ethnicity, San Francisco, Seniors"
Cityteam,https://volunteerinfo.org/cityteam/,"Cityteam is a nondenominational Christian nonprofit compassionately serving the poor, the homeless, and the lost in San Jose, Chester, San Francisco, Oakland, and Portland. Since 1957, Cityteam has been serving people in extreme poverty and helping them transform their lives, …","Advocacy and Human Rights, Children and Families, Counseling, Therapy, and Emotional Support, East Bay, Education and Literacy, Faith-Based, Food and Clothing, Housing and Homelessness, Human Services, Mentorship and Tutoring, Peninsula, Poverty and Hunger, Religion and Spirituality, South Bay"
Mothers Against Drunk Driving,https://volunteerinfo.org/mothers-against-drunk-driving/,Become a trained volunteer Victim Advocate or a Help Line volunteer and provide emotional support to victims and survivors. Advise a Board: Consider a community leadership role by serving on a local advisory board. Take Steps to Raise Funds: Sign …,"Advocacy and Human Rights, Consumer Protection, Counseling, Therapy, and Emotional Support, Crime and Safety, Crisis Support, East Bay, Government Reform, Grief and Loss, North Bay, Peninsula, Policy Advocacy, South Bay, Substance Abuse, Travel and Transportation, Women"
California Reentry Program,https://volunteerinfo.org/california-reentry-program-2/,"The California Reentry Program at San Quentin State Prison is an independent advising program that seeks to cover a wide array of future parolees’ needs. Our services include academic advising, referrals to housing resources, job advice/placement, child-support issues, support groups, …","Advocacy and Human Rights, Children and Families, Counseling, Therapy, and Emotional Support, Crime and Safety, Education and Literacy, Employment, Housing and Homelessness, Human Services, Justice and Legal, Mental Health, Mentorship and Tutoring, Peninsula, Policy Advocacy, Prison Reform, San Francisco"
NAMI (National Alliance on Mental Health) Santa Clara County,https://volunteerinfo.org/nami-national-alliance-on-mental-health-santa-clara-county/,"The mission and values of NAMI Santa Clara County are to help people with a lived experience of mental illness and families by providing support, education and advocacy; to promote research; to reduce stigma and discrimination in the community; and …","Advocacy and Human Rights, Counseling, Therapy, and Emotional Support, Health and Medicine, Mental Health, Peninsula, South Bay"
Bloom Marin,https://volunteerinfo.org/bloom-marin/,"Bloom is looking for Bilingual Spanish Wardrobe Stylists to work with our men and women clients. Work as a team with one client at a time, providing them with a wardrobe tailored to their needs with personalized attention to boost …","Advocacy and Human Rights, Children and Families, Employment, Food and Clothing, Human Services, Job and Workplace, Mentorship and Tutoring, North Bay, San Rafael"
Big Wave Project,https://volunteerinfo.org/big-wave-project/,"The Big Wave Project is dedicated to: creating an inclusive and interactive community of people and businesses to provide a purposeful and independent life for individuals with developmental disabilities through affordable housing, meaningful employment, and a supportive community. Volunteer Needs: …","Advocacy and Human Rights, Agriculture, Animals, Civic Engagement, Counseling, Therapy, and Emotional Support, Disability and Special Needs, Environment, Half Moon Bay, Peninsula, Rural, South Bay, Youth"
Mercy Housing,https://volunteerinfo.org/mercy-housing/,"Mercy Housing, a national nonprofit organization, is working to build a more humane world where poverty is alleviated, communities are healthy and all people can develop their full potential. We believe that affordable housing and supportive programs improve the economic …","Advocacy and Human Rights, Children and Families, Community Development, East Bay, Education and Literacy, Housing and Homelessness, Human Services, Hunger, San Leandro, Sports and Recreation"
Chinese Democracy Education Foundation,https://volunteerinfo.org/chinese-democracy-education-foundation/,"The Chinese Democracy Education Foundation is a nonprofit private organization interested in promoting the prosperity and progress of Chinese society for democracy, freedom and human rights.","Advocacy and Human Rights, East Bay, Hayward, Human Rights and Civil Liberties, International"
"Saffron Strand, Inc",https://volunteerinfo.org/saffron-strand-inc/,"Saffron Strand, Inc. is a unique 501(c)(3) non-profit membership organization whose mission is to get homeless people and those at risk of homelessness off the streets and back to work. Those who join Saffron Strand become members of an all-volunteer …","Advocacy and Human Rights, East Bay, Employment, Housing and Homelessness, Human Services, Hunger, Poverty and Hunger, Richmond"
YWCA Berkeley/Oakland,https://volunteerinfo.org/ywca-berkeleyoakland/,"Our three goals guiding all our work are the elimination of racism, the economic empowerment of women and the development of leaders. We invite you to become a member, attend classes or volunteer in our many programs in: mentoring, leadership …","Advocacy and Human Rights, Berkeley, East Bay, Economic Development, Oakland, Policy Advocacy, Race and Ethnicity, Youth"
Soul Shoppe,https://volunteerinfo.org/soul-shoppe/,"Soul Shoppe supports school communities by providing interactive > workshops and assemblies that teach students useful communication > skills, conflict resolution and community building. We provide > programs that teach students important skills to support them in all > areas …","Advocacy and Human Rights, Children and Families, Conflict Resolution, Crime and Safety, East Bay, Education and Literacy, Oakland, Youth"
,https://volunteerinfo.org/3404-2/,"he Pacific Center is the third oldest LGBT community center in the nation, and is well-respected nationally for the longevity and quality of its programs. Volunteers are the foundation upon which the organization was built and continue to reflect our …","Advocacy and Human Rights, Berkeley, Counseling, Therapy, and Emotional Support, East Bay, LGBT, Mental Health, Youth"
Eviction Defense Collaborative,https://volunteerinfo.org/eviction-defense-collaborative/,"The Eviction Defense Collaborative is the principal organization in San Francisco helping low-income tenants respond to eviction lawsuits. Each year we provide emergency legal services and rental assistance to over 5,000 tenants in San Francisco through our drop-in clinic on …","Advocacy and Human Rights, Conflict Resolution, Consumer Protection, Crisis Support, Housing and Homelessness, Human Rights and Civil Liberties, Human Services, Justice and Legal, Peninsula, Policy Advocacy, San Francisco"
Openhouse,https://volunteerinfo.org/openhouse/,"Openhouse recognizes and affirms that LGBT older adults live at intersections of race, ethnicity, class, culture, HIV status, sexual orientation, gender, gender identity and expression, spirituality and ability. Openhouse is committed to creating a safe environment to encourage and support …","Advocacy and Human Rights, Counseling, Therapy, and Emotional Support, Crisis Support, LGBT, Peninsula, San Francisco"
Justice Now,https://volunteerinfo.org/justice-now/,"Justice Now is a human rights organization that works with people in women’s prisons and local communities to create a safe, compassionate world without prisons. Our mission is to end violence against women and to stop imprisonment by partnering with …","Advocacy and Human Rights, Crime and Safety, East Bay, Justice and Legal, Oakland, Prison Reform, Women"
Social Justice Collaborative,https://volunteerinfo.org/social-justice-collaborative/,SJC is dedicated to the promotion of social welfare through the defense of human and civil rights. We provide free and low-cost legal services to low-income individuals who cannot afford private counsel. SJC ensures that everyone can obtain fair representation …,"Advocacy and Human Rights, Human Rights and Civil Liberties, Immigrants and Refugees, Justice and Legal, Policy Advocacy, San Jose, South Bay, Victim Support"
Upwardly Global,https://volunteerinfo.org/upwardly-global/,"Today there are more than 1.8 million immigrants in the U.S. who are college-educated, have the legal right to work, but are unemployed or significantly underemployed. In their home countries they were engineers, doctors, scientists, accountants, and nonprofit professionals. In …","Advocacy and Human Rights, Education and Literacy, Employment, Immigrants and Refugees, Peninsula, Policy Advocacy, Race and Ethnicity, San Francisco"
Rainbow World Fund,https://volunteerinfo.org/rainbow-world-fund/,"is an international humanitarian charity based in the LGBT and friends community. RWF’s mission is to promote LGBT philanthropy in the area of world humanitarian relief. RWF works to help people who suffer from hunger, poverty, disease, oppression, and war …","Advocacy and Human Rights, LGBT, Peninsula, Policy Advocacy, San Francisco, Women"
Project Homeless Connect – San Francisco,https://volunteerinfo.org/project-homeless-connect-san-francisco/,"Project Homeless Connect strengthens and utilizes collaborations with city agencies, businesses, and organizations to provide comprehensive services at regular events for those who are at risk of becoming homeless, currently homeless, or transitioning from shelter to permanent housing.","Advocacy and Human Rights, Food and Clothing, Housing and Homelessness, Human Services, Peninsula, Poverty and Hunger, San Francisco"
International Rescue Committee,https://volunteerinfo.org/international-rescue-committee/,"The International Rescue Committee responds to the world’s worst humanitarian crises and helps people to survive and rebuild their lives. Founded in 1933 at the request of Albert Einstein, the IRC offers lifesaving care and life-changing assistance to refugees forced …","Advocacy and Human Rights, Children and Families, Housing and Homelessness, Human Rights and Civil Liberties, Human Services, Immigrants and Refugees, Peninsula, Policy Advocacy, San Jose, South Bay"
Jails to Jobs,https://volunteerinfo.org/jails-to-jobs/,Jails to Jobs is an organization that gives ex-offenders the tools they need to find employment. On this website you’ll find a step-by-step plan to follow as you carry out your job search. From researching potential employers and writing resumes …,"Advocacy and Human Rights, Counseling, Therapy, and Emotional Support, Crime and Safety, East Bay, Education and Literacy, Employment, Human Services, Job and Workplace, Justice and Legal, North Bay, Peninsula, Prison Reform, South Bay"
Centro Legal de la Raza: Youth Law Academy,https://volunteerinfo.org/3038-2/,"Centro Legal de la Raza, founded in 1969, provides free or low-cost, bilingual, culturally-sensitive legal aid, community education and advocacy for low-income residents of the Bay Area, including monolingual Spanish speaking immigrants","Advocacy and Human Rights, Civic Engagement, East Bay, Education and Literacy, Immigrants and Refugees, Justice and Legal, Mentorship and Tutoring, Oakland, Race and Ethnicity"
Asian Law Alliance,https://volunteerinfo.org/asian-law-alliance/,"Since a group of law students from Santa Clara University founded the Asian Law Alliance to provide legal assistance to the Asian Pacific Islander communities over three decades ago, the Asian Law Alliance, a non-profit organization, has become the cornerstone …","Advocacy and Human Rights, Human Rights and Civil Liberties, Immigrants and Refugees, Justice and Legal, Peninsula, Policy Advocacy, Race and Ethnicity, South Bay"
International Institute of the Bay Area,https://volunteerinfo.org/international-institute-of-the-bay-area/,"For ninety years in Northern California, people have trusted the International Institutes to give fair, accurate, and low cost legal advice on more than fifty USCIS federal government procedures that can move you and your families toward becoming US citizens, …","Advocacy and Human Rights, Immigrants and Refugees, Justice and Legal, Peninsula, San Francisco"
Mount Diablo Peace and Justice Center,https://volunteerinfo.org/mount-diablo-peace-and-justice-center/,"The Mt. Diablo Peace and Justice Center is crafting an opportunity to connect more deeply with the needs and values of the people in Walnut Creek, Lafayette, Pleasant Hill and Concord to build a culture of peace. The Center plans …","Advocacy and Human Rights, Concord, Contra Costa County, East Bay, Human Rights and Civil Liberties, Justice and Legal, Lafayette, Pleasanton, Walnut Creek"
San Francisco Tenants Union,https://volunteerinfo.org/san-francisco-tenants-union/,The SFTU is operated and run by volunteers. We have over 60 volunteers and just 1 1/2 staff positions. We need your help! Become A Tenants Union Counselor! Volunteer Tenant Counselors are the mainstay of the Tenants Union. The increased …,"Advocacy and Human Rights, Housing and Homelessness, Peninsula, San Francisco"
Sacred Heart Community Service,https://volunteerinfo.org/sacred-heart-community-service/,Sacred Heart promotes unity by bringing together people from all walks of life and organizations from all disciplines in the common cause of serving people in need and working toward the elimination of poverty in our community. With the combined …,"Advocacy and Human Rights, Community Development, Poverty and Hunger, San Jose, South Bay"
Bill Wilson Center,https://volunteerinfo.org/bill-wilson-center/,"Each year, Bill Wilson Center serves more than 10,000 clients in Santa Clara County through our various programs. Bill Wilson Center programs focus on housing, education, counseling, and advocacy. Bill Wilson Center is committed to working with the community to …","Advocacy and Human Rights, Counseling, Therapy, and Emotional Support, Education and Literacy, Housing and Homelessness, Santa Clara, South Bay, Youth"
Peace Action West,https://volunteerinfo.org/peace-action-west/,"Peace Action West works for smarter American approaches to global problems. If we want to address problems like war, poverty, global warming, terrorism — the US needs to work together, cooperatively, with other nations. It also means overcoming the partisan …","Advocacy and Human Rights, East Bay, Human Rights and Civil Liberties, International, Oakland, Politics"
